Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Week,CPI,LastCPI,Distance2
Reservoir,4/1067 High St,2,u,240000,PI,Stockdale,26-07-2016,11.2,26,108.2,108.4,14.7
Coburg,10/23 Baxter St,1,u,241000,S,Nelson,28-08-2016,7.8,31,108.6,108.2,7.8
West Footscray,8/21 Hampton Pde,1,u,241000,S,Sweeney,11-02-2017,8.2,55,109.4,108.6,9.9
Thornbury,8/89 Ballantyne St,1,u,245000,VB,Love,22-05-2016,6.5,17,108.2,108.4,7.8
Pascoe Vale,4/305 Cumberland Rd,1,u,248500,S,Brad,28-08-2016,9.9,31,108.6,108.2,13.9
Carnegie,12/66 Woornack Rd,1,u,250000,PI,hockingstuart,10-09-2016,11.4,33,108.6,108.2,20.3
Essendon,8/15 Shaftesbury St,1,u,250000,VB,Brad,27-06-2016,8,22,108.2,108.4,9.4
Flemington,7/30 Bryant St,1,h,250000,VB,Nelson,16-04-2016,4.4,12,108.2,108.4,4.7
Glenroy,9/11 Currajong St,2,u,250000,SP,Barry,12-11-2016,13,42,108.6,108.2,12.8
Ormond,7/30 Walsh St,1,u,250000,VB,Ray,04-02-2016,11.8,2,108.4,108,15.9
Brunswick West,10/446 Albion St,1,u,252000,PI,McDonald,25-02-2017,5.9,57,109.4,108.6,9
Essendon,2/21 Grice Cr,1,u,253000,S,Brad,13-08-2016,8,29,108.6,108.2,9.8
Carnegie,3/21 Jersey Pde,1,u,255000,S,Ray,04-03-2017,11.4,58,109.4,108.6,14.5
Glen Iris,20/1553 High St,1,u,255000,PI,Buxton,06-08-2016,9.2,28,108.6,108.2,12
Murrumbeena,14/24 Rosella St,1,u,256500,S,Gary,18-06-2016,12.1,21,108.2,108.4,19.4
Carnegie,10/68 Woornack Rd,1,u,260000,VB,Gary,07-05-2016,11.4,15,108.2,108.4,20.2
Essendon North,4/17 Bulla Rd,1,u,260000,S,Brad,10-09-2016,9.4,33,108.6,108.2,12.9
Maribyrnong,8/10 Anglers Wy,1,u,260000,PI,Brad,10-09-2016,8.7,33,108.6,108.2,8.3
Reservoir,1/40 Godley St,1,h,260000,PI,hockingstuart,07-05-2016,11.2,15,108.2,108.4,14.3
Sunshine,1/136 Wright St,2,u,260000,PI,Douglas,03-09-2016,12.6,32,108.6,108.2,13
Thornbury,6/112 Ballantyne St,1,u,260000,VB,Fletchers,10-09-2016,6.5,33,108.6,108.2,8.2
Ormond,7/4 Holloway St,1,u,260000,PI,Ray,12-06-2016,11.8,20,108.2,108.4,15.6
Ormond,4/4 Ormond Rd,1,u,260000,SP,Thomson,16-04-2016,11.8,12,108.2,108.4,15.9
South Yarra,9/501 Punt Rd,1,u,260800,S,Williams,28-05-2016,3.3,18,108.2,108.4,5.4
West Footscray,10/745 Barkly St,2,u,262500,PI,Sweeney,27-11-2016,8.2,44,108.6,108.2,10.2
Brunswick West,1/455 Albion St,1,u,265000,PI,Walshe,07-05-2016,5.9,15,108.2,108.4,9.1
Moonee Ponds,16/51 Buckley St,1,u,265000,VB,Brad,19-11-2016,6.9,43,108.6,108.2,9.8
Carnegie,10/8 Anzac St,1,u,270000,S,hockingstuart,30-07-2016,11.4,27,108.2,108.4,15
Glenroy,2/4 Ash Ct,2,h,270000,PI,Ray,30-07-2016,13,27,108.2,108.4,14.9
Melbourne,1011/74 Queens Rd,1,u,270000,PI,Dingle,08-10-2016,2.8,37,108.6,108.2,6
Reservoir,14/696 Plenty Rd,2,u,270000,VB,hockingstuart,07-11-2016,11.2,41,108.6,108.2,12
Richmond,303/18 Tanner St,2,h,270000,PI,Dingle,08-10-2016,2.6,37,108.6,108.2,3.5
Thornbury,6/89 Ballantyne St,1,u,270000,PI,Nelson,07-11-2016,6.5,41,108.6,108.2,7.8
Kingsville,17/5 Lewis St,2,u,270000,VB,Jas,22-05-2016,7.8,17,108.2,108.4,9.4
Brunswick,9/15 De Carle St,1,u,272500,PI,Walshe,04-06-2016,5.2,19,108.2,108.4,6.1
Footscray,4/97 Cowper St,1,u,275000,PI,Sweeney,16-07-2016,6.4,25,108.2,108.4,6.3
Hawthorn,24/563 Glenferrie Rd,1,u,275000,S,hockingstuart,28-05-2016,4.6,18,108.2,108.4,8.3
Maidstone,8/101 Ballarat Rd,2,u,275000,PI,Burnham,03-12-2016,9.2,45,109.4,108.6,9.4
Windsor,17/25 Williams Rd,1,u,275000,VB,Gary,07-05-2016,5.1,15,108.2,108.4,8.3
Caulfield South,10/468 Kooyong Rd,1,u,275500,PI,Gary,03-12-2016,9.3,45,109.4,108.6,13.4
Maribyrnong,1/97 Raleigh Rd,1,u,277500,SP,Sweeney,10-12-2016,8.7,46,109.4,108.6,8.8
Thornbury,6/75 Pender St,1,u,277500,PI,hockingstuart,12-11-2016,6.5,42,108.6,108.2,10.5
Brunswick,6/305 Albion St,1,u,279500,S,Walshe,15-10-2016,5.2,38,108.6,108.2,7.6
Armadale,15/405 Dandenong Rd,1,u,280000,PI,hockingstuart,10-09-2016,6.3,33,108.6,108.2,9.8
Balaclava,3/88 Grosvenor St,1,u,280000,VB,hockingstuart,07-05-2016,6.6,15,108.2,108.4,9.8
Essendon,9/160 Napier St,1,u,280000,SP,Pagan,16-04-2016,8,12,108.2,108.4,9.9
Flemington,1/142 Shields St,1,u,280000,VB,Nelson,04-03-2017,4.4,58,109.4,108.6,4.4
Richmond,12/9 Westbank Tce,1,u,280000,VB,Jellis,16-07-2016,2.6,25,108.2,108.4,5
South Yarra,16h Stables La,1,u,280000,PI,Marshall,25-02-2017,3.3,57,109.4,108.6,5.9
Sunshine West,109A David Dr,1,h,280000,SP,Jas,19-11-2016,13.5,43,108.6,108.2,21.5
Jacana,11/1051 Pascoe Vale Rd,2,u,280000,PI,Raine,16-04-2016,14.5,12,108.2,108.4,16.3
Gardenvale,6/37 Lantana Rd,1,u,280000,PI,McGrath,25-02-2017,9.8,57,109.4,108.6,12
Footscray,8/19 Empire St,2,u,281000,S,Sweeney,10-12-2016,6.4,46,109.4,108.6,8.3
Footscray,4/11 Nicholson St,1,u,282000,PI,Sweeney,24-09-2016,6.4,35,108.6,108.2,7
Brunswick West,8/48 Passfield St,1,u,285000,PI,Walshe,22-08-2016,5.9,30,108.6,108.2,6.9
St Kilda,9/13 Crimea St,1,u,285000,S,Gary,07-05-2016,6.1,15,108.2,108.4,7.5
Williamstown North,10/68 Kororoit Creek Rd,1,u,285000,S,Williams,10-09-2016,8.9,33,108.6,108.2,14.6
Box Hill,1/7 Glenmore St,1,u,288000,SP,hockingstuart,12-06-2016,13.1,20,108.2,108.4,22.9
Fawkner,2/79 Queens Pde,1,u,288000,S,Brad,15-10-2016,12.4,38,108.6,108.2,13.7
West Footscray,6/16 Warleigh Rd,1,u,288000,SP,Sweeney,25-02-2017,8.2,57,109.4,108.6,8.7
Carnegie,3/9 Poplar Gr,1,u,290000,S,Ray,04-06-2016,11.4,19,108.2,108.4,14.6
Caulfield North,8/359 Balaclava Rd,1,u,290000,VB,hockingstuart,10-12-2016,8.1,46,109.4,108.6,11.9
Caulfield South,5/27 Venus St,1,u,290000,VB,Gary,27-11-2016,9.3,44,108.6,108.2,13.4
Hawthorn,13/506 Glenferrie Rd,1,u,290000,S,Biggin,22-05-2016,4.6,17,108.2,108.4,8.4
Brunswick East,13/55 Victoria St,1,u,290000,VB,Nelson,28-08-2016,4.5,31,108.6,108.2,5.8
Murrumbeena,3/34 Bute St,1,u,290000,S,McGrath,15-10-2016,12.1,38,108.6,108.2,19.6
Ormond,3/10 Ormond Rd,1,u,290000,VB,Ray,04-03-2017,11.8,58,109.4,108.6,15.8
Footscray,6/114 Commercial Rd,1,u,291000,PI,Sweeney,07-05-2016,6.4,15,108.2,108.4,7.8
Glen Iris,1/6 Edgar St,1,u,291000,PI,hockingstuart,12-11-2016,9.2,42,108.6,108.2,11.9
Murrumbeena,2/190 Murrumbeena Rd,1,u,291000,S,Woodards,27-06-2016,12.1,22,108.2,108.4,20
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28-08-2016,11.1,31,108.6,108.2,12.3
Hawthorn,11/140 Riversdale Rd,1,u,292000,S,Woodards,07-11-2016,4.6,41,108.6,108.2,8.5
Moonee Ponds,5/51 Buckley St,1,u,292000,S,Barry,27-06-2016,6.9,22,108.2,108.4,9.8
Footscray,4/5 Empire St,2,u,295000,SP,Gunn&Co,15-10-2016,6.4,38,108.6,108.2,8.2
Thornbury,8/14 Hutton St,1,u,295000,S,LITTLE,19-11-2016,6.5,43,108.6,108.2,8.5
Ascot Vale,6/37 Myrnong Cr,1,u,296000,S,Woodards,25-02-2017,5.9,57,109.4,108.6,5
Footscray,1/24 Eldridge St,2,u,296000,S,Sweeney,27-11-2016,6.4,44,108.6,108.2,8.2
Ormond,6/13 Ulupna Rd,1,u,296000,SP,Thomson,17-09-2016,11.8,34,108.6,108.2,15.8
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,08-10-2016,2.5,37,108.6,108.2,4.4
Brunswick West,2/39 Murray St,1,u,300000,VB,Jellis,06-08-2016,5.9,28,108.6,108.2,9.1
Brunswick West,12/881 Park St,1,u,300000,SP,Grantham,07-11-2016,5.9,41,108.6,108.2,5.3
Elwood,14/9 Southey St,1,u,300000,S,hockingstuart,03-12-2016,7.7,45,109.4,108.6,9
Malvern East,3/907 Dandenong Rd,1,u,300000,PI,Anderson,23-04-2016,11.2,13,108.2,108.4,13.7
Preston,22/2 Arthur St,1,u,300000,PI,Nelson,24-09-2016,8.8,35,108.6,108.2,9.9
Reservoir,8/99 Barton St,2,u,300000,VB,Love,22-08-2016,11.2,30,108.6,108.2,13.6
Reservoir,5/25 Ashley St,2,u,300000,S,Love,26-07-2016,11.2,26,108.2,108.4,12.6
South Yarra,16/37 Margaret St,1,u,300000,PI,LITTLE,30-07-2016,3.3,27,108.2,108.4,5.7
Windsor,106/233 Dandenong Rd,1,u,300000,VB,Ray,15-10-2016,5.1,38,108.6,108.2,8.2
Windsor,7/23 The Avenue,1,u,300000,VB,Beller,19-11-2016,5.1,43,108.6,108.2,8.2
West Footscray,3/589 Barkly St,1,u,300000,S,Sweeney,03-12-2016,8.2,45,109.4,108.6,9.3
Albion,3/14 Ridley St,2,t,300000,PI,FN,11-02-2017,13.9,55,109.4,108.6,14.4
Reservoir,6/833 High St,3,u,301000,SP,Barry,10-09-2016,11.2,33,108.6,108.2,11.8
Thornbury,8/77 Pender St,1,u,303500,SP,Woodards,27-11-2016,6.5,44,108.6,108.2,10.5
Footscray,1/30 Pickett St,2,u,305000,PI,Burnham,04-03-2017,6.4,58,109.4,108.6,6.9
Footscray,8/33 Gordon St,1,u,305000,S,Burnham,17-09-2016,6.4,34,108.6,108.2,8.2
Preston,3/413 Gilbert Rd,1,u,305000,S,Nelson,10-12-2016,8.8,46,109.4,108.6,10.1
Sunshine West,1/40 Warmington Rd,3,h,305000,SP,Jellis,27-06-2016,13.5,22,108.2,108.4,15
Oakleigh,8/105 Atherton Rd,2,h,305000,PI,Ray,04-06-2016,14,19,108.2,108.4,18.4
Richmond,7/182 Coppin St,1,u,306000,S,Jellis,22-08-2016,2.6,30,108.6,108.2,4.6
Parkville,9/18 Lennon St,1,h,307000,S,Jellis,15-10-2016,2.6,38,108.6,108.2,3.8
Fitzroy,2/23 George St,1,u,308000,SP,Peter,25-02-2017,1.6,57,109.4,108.6,2.5
Caulfield North,2/688 Inkerman Rd,1,u,310000,VB,Jellis,10-09-2016,8.1,33,108.6,108.2,10.8
Footscray,2/36 Empire St,2,u,310000,PI,Sweeney,17-09-2016,6.4,34,108.6,108.2,8.7
Hawthorn,301/25 Lynch St,1,u,310000,VB,Jellis,28-08-2016,4.6,31,108.6,108.2,8.7
Kensington,103/60 Speakmen St,1,u,310000,PI,Edward,24-09-2016,4.2,35,108.6,108.2,6.6
Kensington,111/80 Speakmen St,1,u,310000,VB,Edward,24-09-2016,4.2,35,108.6,108.2,7.8
Reservoir,3/3 Erskine Av,1,u,310000,S,Barry,18-06-2016,11.2,21,108.2,108.4,15
South Yarra,12/219 Williams Rd,1,u,310000,PI,Buxton,12-11-2016,3.3,42,108.6,108.2,6.7
South Yarra,1/949 Punt Rd,1,u,310000,SP,hockingstuart,23-04-2016,3.3,13,108.2,108.4,4.1
Williamstown,8/99 Verdon St,1,u,310000,SP,Sweeney,07-05-2016,8,15,108.2,108.4,14.2
Carlton,309/20 Reeves St,1,u,310000,PI,hockingstuart,22-05-2016,1.8,17,108.2,108.4,2.9
Kensington,106/80 Speakmen St,1,u,312000,SP,Edward,06-08-2016,4.2,28,108.6,108.2,7.8
Kensington,106/80 Speakmen St,1,u,312000,SP,Edward,22-08-2016,4.2,30,108.6,108.2,7.8
Northcote,1/68 Bridge St,1,u,312000,S,Harcourts,14-05-2016,5.5,16,108.2,108.4,6.7
St Kilda,7/128 Inkerman St,1,u,312000,S,hockingstuart,22-05-2016,6.1,17,108.2,108.4,7.5
Elwood,11/6 Byron St,1,u,313000,S,Chisholm,25-02-2017,7.7,57,109.4,108.6,8.8
Armadale,13/56 Sutherland Rd,1,u,315000,SP,Fletchers,22-08-2016,6.3,30,108.6,108.2,9.7
Brunswick West,10/13 Hopetoun Av,2,u,315000,PI,Jellis,22-05-2016,5.9,17,108.2,108.4,8.5
Footscray,12/14 Eldridge St,2,u,315000,PI,C21,25-02-2017,6.4,57,109.4,108.6,8.1
Malvern East,5/80 Burke Rd,1,u,315000,S,Jellis,27-11-2016,11.2,44,108.6,108.2,12.7
South Yarra,413/35 Malcolm St,1,u,315000,PI,hockingstuart,03-12-2016,3.3,45,109.4,108.6,5.1
Sunshine North,2/86 Phoenix St,2,u,315000,PI,Douglas,08-10-2016,13.3,37,108.6,108.2,13.5
Thornbury,2/143 Smith St,1,u,315000,S,Harcourts,19-11-2016,6.5,43,108.6,108.2,8.7
Travancore,145/38 Mt Alexander Rd,2,u,315000,SP,Ray,28-05-2016,5.3,18,108.2,108.4,4
Footscray,10/24 Eldridge St,2,u,316000,S,Burnham,27-06-2016,6.4,22,108.2,108.4,8.2
Albion,16/20 Talmage St,2,t,319000,SP,Barry,24-09-2016,13.9,35,108.6,108.2,15.5
Brunswick West,9/610 Moreland Rd,2,u,320000,PI,Nelson,03-12-2016,5.9,45,109.4,108.6,8.3
Brunswick West,2/8 Walker St,1,u,320000,S,Jellis,18-06-2016,5.9,21,108.2,108.4,6.9
Hawthorn,23/146 Power St,1,u,320000,VB,Fletchers,03-12-2016,4.6,45,109.4,108.6,7.7
Hawthorn,8/203 Auburn Rd,1,u,320000,VB,Marshall,15-10-2016,4.6,38,108.6,108.2,11.3
Kealba,35 Georgia Pl,3,h,320000,VB,Brad,27-06-2016,15,22,108.2,108.4,22.3
North Melbourne,103/171 Flemington Rd,1,u,320000,S,W.B.,27-11-2016,2.3,44,108.6,108.2,3.5
Northcote,8/62 Cunningham St,1,u,320000,PI,Barry,14-05-2016,5.5,16,108.2,108.4,6.4
South Melbourne,912/22 Dorcas St,1,u,320000,VB,McGrath,10-12-2016,2.1,46,109.4,108.6,2.8
South Melbourne,1107/50 Albert Rd,1,u,320000,VB,Dingle,27-11-2016,2.1,44,108.6,108.2,3.2
St Kilda,416/163 Fitzroy St,1,u,320000,VB,LITTLE,16-07-2016,6.1,25,108.2,108.4,6.7
Hawthorn East,2/282 Riversdale Rd,1,u,320000,VB,Fletchers,12-11-2016,7.5,42,108.6,108.2,11.2
Essendon,3/23 Daisy St,1,u,320500,S,Nelson,17-09-2016,8,34,108.6,108.2,10.8
Glenroy,6/2 Murrell St,2,u,320500,S,Nelson,17-09-2016,13,34,108.6,108.2,13.9
Caulfield,2/19 Ash Gr,1,u,323000,S,hockingstuart,04-03-2017,8.9,58,109.4,108.6,13.3
Reservoir,2/963 High St,2,u,323000,S,Nelson,16-04-2016,11.2,12,108.2,108.4,13.5
Armadale,8/569 Orrong Rd,1,u,324000,S,Jellis,16-04-2016,6.3,12,108.2,108.4,9.6
Clifton Hill,4/56 John St,1,u,325000,VB,Collins,13-08-2016,3.4,29,108.6,108.2,5.5
Essendon,3/25 Wright St,1,u,325000,S,Brad,08-10-2016,8,37,108.6,108.2,10.3
Prahran,10/37 Greville St,1,u,325000,VB,Biggin,06-08-2016,4.5,28,108.6,108.2,6.2
Elwood,11/16 Byron St,1,u,326000,VB,hockingstuart,27-06-2016,7.7,22,108.2,108.4,8.9
West Footscray,51 Roberts St,2,h,326500,S,Sweeney,25-02-2017,8.2,57,109.4,108.6,9.6
Richmond,305/28 Burnley St,1,u,327000,S,Biggin,07-11-2016,2.6,41,108.6,108.2,4.8
Ripponlea,7/1 Hotham Gr,1,u,327000,S,Woodards,18-06-2016,7.4,21,108.2,108.4,9.7
Brunswick West,9/39 Heller St,1,u,330000,S,hockingstuart/Advantage,22-05-2016,5.9,17,108.2,108.4,5.4
Carnegie,1/78 Railway Rd,1,u,330000,S,hockingstuart,06-08-2016,11.4,28,108.6,108.2,14.6
Fitzroy North,8/54 Kneen St,1,u,330000,VB,Jellis,19-11-2016,3.5,43,108.6,108.2,6.6
Hadfield,100 South St,2,h,330000,VB,Stockdale,22-05-2016,12.1,17,108.2,108.4,13.9
Hawthorn,7/21 Elphin Gr,1,u,330000,PI,RT,07-05-2016,4.6,15,108.2,108.4,7.8
Heidelberg West,62 Ramu Pde,3,h,330000,S,Barry,04-06-2016,9.4,19,108.2,108.4,18.6
Kensington,203/60 Speakmen St,1,u,330000,SP,Nelson,28-05-2016,4.2,18,108.2,108.4,6.6
Maribyrnong,7/3 Ensign St,2,u,330000,SP,Biggin,10-12-2016,8.7,46,109.4,108.6,8.6
Maribyrnong,3/4 Navigator St,2,u,330000,S,Woodards,30-07-2016,8.7,27,108.2,108.4,8.4
Moonee Ponds,13/110 Maribyrnong Rd,2,u,330000,VB,Brad,14-05-2016,6.9,16,108.2,108.4,6.7
Moonee Ponds,2/118 Holmes Rd,2,u,330000,SP,Jellis,22-05-2016,6.9,17,108.2,108.4,8
Prahran,4/313 Dandenong Rd,1,u,330000,VB,hockingstuart,06-08-2016,4.5,28,108.6,108.2,9.1
Reservoir,2/14 Drysdale St,2,u,330000,PI,Ray,16-07-2016,11.2,25,108.2,108.4,14.4
South Yarra,3/49 Osborne St,1,u,330000,VB,Jellis,14-05-2016,3.3,16,108.2,108.4,5.6
South Yarra,303/3 Clara St,1,u,330000,PI,Dingle,30-07-2016,3.3,27,108.2,108.4,5.9
St Kilda,21/127 Grey St,1,u,330000,SA,hockingstuart,15-10-2016,6.1,38,108.6,108.2,7.2
Thornbury,2/54 Pender St,1,u,330000,PI,Barry,27-06-2016,6.5,22,108.2,108.4,10.5
Yarraville,3/107 Somerville Rd,2,u,330000,VB,Jas,10-09-2016,7,33,108.6,108.2,8.2
Brunswick East,5/146 Mitchell St,1,u,330000,VB,Nelson,25-02-2017,4.5,57,109.4,108.6,6.6
Williamstown,2/125 Ferguson St,1,u,331000,S,Williams,28-05-2016,8,18,108.2,108.4,14.4
Prahran,8/8 Airlie Av,1,u,332000,PI,hockingstuart,18-06-2016,4.5,21,108.2,108.4,9.3
Thornbury,1/219 Raleigh St,1,u,332000,SP,Harcourts,14-05-2016,6.5,16,108.2,108.4,9.8
Fawkner,1/71 Lynch Rd,2,u,333000,SP,hockingstuart,04-03-2017,12.4,58,109.4,108.6,15.1
Hawthorn,16/557 Glenferrie Rd,1,u,335000,VB,Jellis,10-09-2016,4.6,33,108.6,108.2,8.3
Maidstone,4/4 Crefden St,2,u,335000,SP,Biggin,11-02-2017,9.2,55,109.4,108.6,10.6
Maribyrnong,7/13 Navigator St,2,h,335000,S,hockingstuart,17-09-2016,8.7,34,108.6,108.2,8.4
Newport,37/114 Mason St,1,u,335000,S,Williams,07-05-2016,8.4,15,108.2,108.4,12.8
Reservoir,9/99 Barton St,2,u,335000,SP,Love,13-08-2016,11.2,29,108.6,108.2,13.6
Reservoir,9/99 Barton St,2,u,335000,S,Love,22-08-2016,11.2,30,108.6,108.2,13.6
St Kilda,307/2 Chaucer St,1,u,335000,SP,Wilson,13-08-2016,6.1,29,108.6,108.2,8.5
Moonee Ponds,4/7 York St,1,u,336000,S,Brad,28-08-2016,6.9,31,108.6,108.2,7.8
Reservoir,8/211 Edwardes St,2,u,336000,S,Stockdale,03-12-2016,11.2,45,109.4,108.6,12.5
Bentleigh East,6/1126 North Rd,2,u,340000,VB,Gary,22-08-2016,13.9,30,108.6,108.2,18.9
Brighton East,6/141 Centre Rd,1,u,340000,VB,Buxton,25-02-2017,10.7,57,109.4,108.6,14.2
Carnegie,3/12 St Huberts Rd,1,u,340000,S,hockingstuart,30-07-2016,11.4,27,108.2,108.4,14.5
Clifton Hill,7/29 Dwyer St,1,u,340000,PI,Woodards,03-12-2016,3.4,45,109.4,108.6,6.3
Elwood,3/58 Byron St,1,u,340000,SP,Buxton,27-06-2016,7.7,22,108.2,108.4,9.3
Essendon North,1/48 Keilor Rd,2,u,340000,SP,Nelson,18-06-2016,9.4,21,108.2,108.4,13.3
Glenroy,7/89 Station Rd,2,u,340000,S,Nelson,12-11-2016,13,42,108.6,108.2,13.3
North Melbourne,1/315 Flemington Rd,1,u,340000,S,Brad,03-12-2016,2.3,45,109.4,108.6,3.8
Northcote,9/28 Ross St,1,u,340000,PI,Nelson,28-08-2016,5.5,31,108.6,108.2,6.2
Reservoir,6/5 Seaver Gr,2,u,340000,VB,Love,24-09-2016,11.2,35,108.6,108.2,13.1
South Yarra,5/178 Toorak Rd,1,u,340000,VB,Jellis,04-03-2017,3.3,58,109.4,108.6,5.2
Reservoir,4/7 Oconnor St,1,u,341000,PI,Ray,07-11-2016,11.2,41,108.6,108.2,13.6
Glen Huntly,9/133 Grange Rd,1,u,341000,SP,Gary,08-10-2016,10.4,37,108.6,108.2,14.4
Prahran,13/37 Greville St,1,u,342000,S,hockingstuart,03-09-2016,4.5,32,108.6,108.2,6.2
Richmond,5/285 Punt Rd,1,u,342000,S,Jellis,10-09-2016,2.6,33,108.6,108.2,3.5
Watsonia,1/6 Wattle Dr,2,u,342500,S,Miles,27-11-2016,14.9,44,108.6,108.2,19.1
Carnegie,8/48 Moonya Rd,1,u,345000,S,Thomson,15-10-2016,11.4,38,108.6,108.2,20.3
Flemington,5/60 Farnham St,1,u,345000,SP,Nelson,18-06-2016,4.4,21,108.2,108.4,4.9
Glen Iris,11/63 Edgar St N,1,t,345000,PI,Jellis,14-05-2016,9.2,16,108.2,108.4,11.4
Maribyrnong,2a Hillside Cr,2,t,345000,PI,Hodges,07-05-2016,8.7,15,108.2,108.4,10.5
Richmond,12/104 Rowena Pde,1,u,345000,S,Biggin,07-11-2016,2.6,41,108.6,108.2,3.7
Richmond,406/20 Burnley St,1,u,345000,PI,Ray,08-10-2016,2.6,37,108.6,108.2,4.8
Sunshine North,2/17 Camperdown Av,3,t,345000,PI,Biggin,10-09-2016,13.3,33,108.6,108.2,22.3
Sunshine West,2/66 Talintyre Rd,2,u,345000,PI,Douglas,16-04-2016,13.5,12,108.2,108.4,15
Toorak,11/789 Malvern Rd,1,u,345000,S,Woodards,10-09-2016,4.6,33,108.6,108.2,9
Yarraville,5/69 Hamilton St,1,u,345000,S,hockingstuart/Village,16-04-2016,7,12,108.2,108.4,8.4
Carnegie,8/54 Moonya Rd,1,u,346000,S,Woodards,04-03-2017,11.4,58,109.4,108.6,20.2
Elwood,1/6 Wave St,1,u,347000,S,Gary,25-02-2017,7.7,57,109.4,108.6,10.1
West Footscray,2/705 Barkly St,3,u,347000,SP,Jas,07-11-2016,8.2,41,108.6,108.2,10.6
Hawthorn,25/510 Glenferrie Rd,1,u,348000,S,Woodards,03-12-2016,4.6,45,109.4,108.6,8.3
Moonee Ponds,5/40 Young St,2,u,348000,S,Nelson,03-12-2016,6.9,45,109.4,108.6,6.6
Maidstone,48/48 Eucalyptus Dr,2,u,349000,PI,hockingstuart,16-04-2016,9.2,12,108.2,108.4,10.6
Toorak,1/21 Bruce St,1,u,349000,PI,Williams,07-05-2016,4.6,15,108.2,108.4,7.1
Brunswick,15/11 Aberdeen St,2,u,350000,S,hockingstuart,22-05-2016,5.2,17,108.2,108.4,5.7
Carnegie,10/12 St Huberts Rd,1,u,350000,S,hockingstuart,19-11-2016,11.4,43,108.6,108.2,14.5
Flemington,58/2 Newmarket Wy,1,u,350000,PI,Nelson,12-11-2016,4.4,42,108.6,108.2,5.1
Flemington,5/69 Edinburgh St,2,u,350000,VB,Jellis,26-07-2016,4.4,26,108.2,108.4,5.3
Glen Iris,4/35 Carroll Cr,1,u,350000,VB,hockingstuart,03-12-2016,9.2,45,109.4,108.6,11.3
Hawthorn,302/157 Burwood Rd,1,u,350000,VB,Marshall,07-05-2016,4.6,15,108.2,108.4,8.1
Hawthorn,5/67 Auburn Rd,1,u,350000,VB,Noel,12-11-2016,4.6,42,108.6,108.2,12
Malvern East,32/997 Dandenong Rd,2,u,350000,VB,Ray,04-02-2016,11.2,2,108.4,108,14.2
Malvern East,2/919 Dandenong Rd,1,u,350000,SP,Thomson,10-12-2016,11.2,46,109.4,108.6,13.6
Malvern East,24/997 Dandenong Rd,1,u,350000,VB,Ray,12-11-2016,11.2,42,108.6,108.2,14.2
Reservoir,2/89 Purinuan Rd,2,t,350000,S,Nelson,11-02-2017,11.2,55,109.4,108.6,14.9
Reservoir,3/18 Bedford St,1,u,350000,SP,Harcourts,12-11-2016,11.2,42,108.6,108.2,12.9
Reservoir,4/62 St Vigeons Rd,2,u,350000,PI,Barry,12-11-2016,11.2,42,108.6,108.2,15.1
